pid,pref,cid,city,citykana,lat,lng,url,phrase
1,北海道,1231,恵庭市,えにわし,42.88258231,141.5777691,https://www.city.eniwa.hokkaido.jp/,水・緑・花　人がふれあう生活都市えにわ
1,北海道,1233,伊達市,だてし,42.47194444,140.8647222,https://www.city.date.hokkaido.jp/,北の湘南 伊達　助けあい 学びあい 創造するまち
1,北海道,1234,北広島市,きたひろしまし,42.98566933,141.5635545,https://www.city.kitahiroshima.hokkaido.jp/,自然と創造の調和した豊かな都市
1,北海道,1235,石狩市,いしかりし,43.17138889,141.3155556,http://www.city.ishikari.hokkaido.jp/,あい風と人間（ひと）が輝く活力のまち・石狩
1,北海道,1236,北斗市,ほくとし,41.82416667,140.6530556,https://www.city.hokuto.hokkaido.jp/index.html,～あなたが主役　可能性を未来に～
1,北海道,1303,当別町,とうべつちょう,43.22381951,141.5171281,https://www.town.tobetsu.hokkaido.jp/,札幌至近の自然あふれる我がまち　自然を身近に感じ活力に満ちた美しいまち当別
1,北海道,1304,新篠津村,しんしのつむら,43.22541251,141.6492815,https://www.vill.shinshinotsu.hokkaido.jp/,耕せ人々の力みんなでつくる新しのつ
1,北海道,1331,松前町,まつまえちょう,41.42996802,140.1103613,https://www.town.matsumae.hokkaido.jp/,みんなで築こう　協働のまち
1,北海道,1332,福島町,ふくしまちょう,41.48374263,140.2512881,http://www.town.fukushima.hokkaido.jp/,海峡と横綱の里　豊かな自然 たくましい産業 快適で心なごむ町 ふくしま
1,北海道,1333,知内町,しりうちちょう,41.59833333,140.4188889,https://www.town.shiriuchi.hokkaido.jp/,笑顔かがやく躍動の舞台
1,北海道,1334,木古内町,きこないちょう,41.6783268,140.4376294,https://www.town.kikonai.hokkaido.jp/,北の大地の始発駅　恵まれた自然とたゆまぬ活力を活かして 一人ひとりが心を育み、支え合う北の大地の福祉都市『きこない』
1,北海道,1337,七飯町,ななえちょう,41.89571953,140.6944054,https://www.town.nanae.hokkaido.jp/,私たちが主役　健やかな未来を育むあたたかいまちづくり
1,北海道,1343,鹿部町,しかべちょう,42.03861111,140.8158333,http://www.town.shikabe.lg.jp/,きらめく海・駒ヶ岳（やま）・うるおいの湯郷（ユートピア）
1,北海道,1345,森町,もりまち,42.10496108,140.5764167,https://www.town.hokkaido-mori.lg.jp/,みんなで創ろう海と緑の理想郷 森町 ～こころふれあう はつらつとした爽やかなまち～
1,北海道,1346,八雲町,やくもちょう,42.25589383,140.2651921,https://www.town.yakumo.lg.jp/,太平洋と日本海　二つの海を持つまち
1,北海道,1347,長万部町,おしゃまんべちょう,42.51340337,140.3801967,http://www.town.oshamambe.lg.jp/index.php,ふれあい交流家族・おしゃまんべ
1,北海道,1361,江差町,えさしちょう,41.86928745,140.1275909,https://www.hokkaido-esashi.jp/,自然・歴史・文化が輝く北の交流拠点－えさし
1,北海道,1362,上ノ国町,かみのくにちょう,41.80111111,140.1213889,http://www.town.kaminokuni.lg.jp/,天の川が流れる街　輝くまち わたしたちの上ノ国
1,北海道,1363,厚沢部町,あっさぶちょう,41.92094925,140.2253619,https://www.town.assabu.lg.jp/index.php,ポテト夢タウン・あっさぶ
1,北海道,1364,乙部町,おとべちょう,41.96854529,140.1353881,https://www.town.otobe.lg.jp/,明るく元気で豊かな町・乙部
1,北海道,1367,奥尻町,おくしりちょう,42.17228824,139.5141374,https://www.town.okushiri.lg.jp/,心かよいあう幸の島　みんなのおくしり
1,北海道,1370,今金町,いまかねちょう,42.42937171,140.0086423,https://www.town.imakane.lg.jp/,いいまち 今金 夢のまち　みんなで漕ぎだそう 今金しあわせ丸
1,北海道,1371,せたな町,せたなちょう,42.41694444,139.8833333,https://www.town.setana.lg.jp/,みんなの笑顔と力で創ろう、未来の「せたな」。
1,北海道,1391,島牧村,しままきむら,42.70049649,140.0615316,https://www.vill.shimamaki.lg.jp/,豊かな自然と人の温もりを育む村
1,北海道,1392,寿都町,すっつちょう,42.7910538,140.2288275,http://www.town.suttu.lg.jp/,～地域の宝を、地域の輝きにつなげる安らぎのまち～
1,北海道,1393,黒松内町,くろまつないちょう,42.66777778,140.3077778,http://www.kuromatsunai.com/,自然にやさしく・人にやすらぎの田舎　みんなで歩むブナ北限の里づくり
1,北海道,1394,蘭越町,らんこしちょう,42.80923992,140.5283803,https://www.town.rankoshi.hokkaido.jp/,心一つにみんなで創る 共生と希望のまち 蘭越
1,北海道,1395,ニセコ町,にせこちょう,42.80480026,140.6875294,https://www.town.niseko.lg.jp/,小さいながらも世界に誇れる暮らしやすさを実感できる“環境のまち”「小さな世界都市ニセコ」
1,北海道,1396,真狩村,まっかりむら,42.7630045,140.8036719,https://www.vill.makkari.lg.jp/,風を感じる村　小さいけれど日本一輝いている村
1,北海道,1397,留寿都村,るすつむら,42.73730784,140.8756242,https://www.vill.rusutsu.lg.jp/,童謡「赤い靴」ゆかりの地　留寿都村（るすつむら）
1,北海道,1398,喜茂別町,きもべつちょう,42.79543379,140.9345372,http://www.town.kimobetsu.hokkaido.jp/,人と自然がきらめく町きもべつ
1,北海道,1399,京極町,きょうごくちょう,42.8582269,140.8841146,http://www.town-kyogoku.jp/,名水の郷 きょうごく　美しい水と農（みのり）の幸せなまち
1,北海道,1400,倶知安町,くっちゃんちょう,42.90171229,140.7590211,https://www.town.kutchan.hokkaido.jp/,ふれあい豊かに質の高い暮らしと文化があるまち
1,北海道,1401,共和町,きょうわちょう,42.98040776,140.6114265,https://www.town.kyowa.hokkaido.jp/,豊かな大地で、健やかに たくましく歩むまち きょうわ　かかしのふるさと共和町
1,北海道,1402,岩内町,いわないちょう,42.97878475,140.5091811,https://www.town.iwanai.hokkaido.jp/,北海道・後志・西積丹にある岩内町の公式HP
1,北海道,1403,泊村,とまりむら,43.06300163,140.4989034,http://www.vill.tomari.hokkaido.jp/,エネルギーのふるさと とまり　日本海にこにこ元気むら
1,北海道,1404,神恵内村,かもえないむら,43.14380532,140.4309293,https://www.vill.kamoenai.hokkaido.jp/,小さくてもキラリと光る村づくり
1,北海道,1405,積丹町,しゃこたんちょう,43.29874919,140.5979824,http://www.town.shakotan.hokkaido.jp/,躍動する大地、積丹21
1,北海道,1406,古平町,ふるびらちょう,43.26533414,140.6389515,http://www.town.furubira.lg.jp/,もっといきいき　もっとほのぼの
1,北海道,1407,仁木町,にきちょう,43.15166667,140.7661111,http://www.town.niki.hokkaido.jp/,果実とやすらぎの里　魅力ある、住みよい、心豊かなふれあいを大切にするまち
1,北海道,1408,余市町,よいちちょう,43.19531756,140.7835239,https://www.town.yoichi.hokkaido.jp/,青い海と山海の幸に恵まれた、毛利衛宇宙飛行士誕生のまち　未来につなげるいきいき“よいち”
1,北海道,1409,赤井川村,あかいがわむら,43.08349202,140.8136322,https://www.akaigawa.com/,水清く 味覚豊かな カルデラの里　人と自然が育む美しい村～やすらぎと潤いのふるさとをめざして～
1,北海道,1423,南幌町,なんぽろちょう,43.06371295,141.6502959,http://www.town.nanporo.hokkaido.jp/,緑豊かな田園文化のまち　「住む」人に「人生の実り」をプラス。
1,北海道,1424,奈井江町,ないえちょう,43.42527778,141.8827778,http://www.town.naie.hokkaido.jp/,おもいやり明日へ　健康と福祉のまち奈井江町
1,北海道,1425,上砂川町,かみすながわちょう,43.482118,141.9835294,http://town.kamisunagawa.hokkaido.jp/,小さくても健康的で元気な明るい町　住民の総意により学び、働き、憩う快適な人間環境の創造
1,北海道,1427,由仁町,ゆにちょう,42.99960678,141.79028,http://www.town.yuni.lg.jp/,風薫る健康のまち　ゆにガーデンの由仁町へようこそ
1,北海道,1428,長沼町,ながぬまちょう,43.01036818,141.6954173,https://www.maoi-net.jp/,緑豊かな田園文化都市
1,北海道,1429,栗山町,くりやまちょう,43.05630081,141.7840938,http://www.town.kuriyama.hokkaido.jp/,ふるさとは栗山です。～人・自然・文化・産業のつながりで創るまち～
1,北海道,1430,月形町,つきがたちょう,43.33839288,141.6695448,http://www.town.tsukigata.hokkaido.jp/,まんまるはーと 月形町　愛と誇りに満ちたやすらぎと希望あふれる花の里つきがた
1,北海道,1431,浦臼町,うらうすちょう,43.43036951,141.8187355,https://www.town.urausu.hokkaido.jp/,みどりかがやく　夢大地　うらうす　－豊かなふるさとの創造をめざして－
1,北海道,1432,新十津川町,しんとつかわちょう,43.54847601,141.8770965,https://www.town.shintotsukawa.lg.jp/,しんとつかわで心呼吸。人・夢・自然
1,北海道,1433,妹背牛町,もせうしちょう,43.70017033,141.9615052,https://www.town.moseushi.hokkaido.jp/,人輝き、笑顔あふれるまち・もせうし
1,北海道,1434,秩父別町,ちっぷべつちょう,43.76701307,141.9578543,https://www.town.chippubetsu.hokkaido.jp/,鐘のなるまち ちっぷべつ　快適で融和な活力あるまち・ちっぷべつ
1,北海道,1436,雨竜町,うりゅうちょう,43.64396502,141.8890417,https://www.town.uryu.hokkaido.jp/,産業・自然・ひとが輝き、ともに支え合うまちづくり
1,北海道,1437,北竜町,ほくりゅうちょう,43.73138889,141.8791667,http://www.town.hokuryu.hokkaido.jp/,日本一を誇るひまわりの里　太陽を味方につけたまち北竜　ふるさと北竜未来プラン
1,北海道,1438,沼田町,ぬまたちょう,43.80670325,141.9336905,https://www.town.numata.hokkaido.jp/,祭りばやしとほたるの里
1,北海道,1452,鷹栖町,たかすちょう,43.84333333,142.3544444,https://www.town.takasu.hokkaido.jp/,みんな　笑顔で　あったかす
1,北海道,1453,東神楽町,ひがしかぐらちょう,43.69638494,142.4515003,https://www.town.higashikagura.lg.jp/,すてきな笑顔と花のまち　花と夢で心をむすぶ町ひがしかぐら
1,北海道,1454,当麻町,とうまちょう,43.82813767,142.5083928,http://town.tohma.hokkaido.jp/,明るく活力あるまちづくり
1,北海道,1455,比布町,ぴっぷちょう,43.87500414,142.4776752,http://www.town.pippu.hokkaido.jp/,スキーといちごのまち　笑顔あふれるまち ぴっぷを目指して
1,北海道,1456,愛別町,あいべつちょう,43.90667341,142.5778203,http://www.town.aibetsu.hokkaido.jp/,美しい田園ときのこの里 愛 いっぱいのまち 愛別町　心豊かで笑顔がつながるまちをめざして
1,北海道,1457,上川町,かみかわちょう,43.84712409,142.7704637,https://www.town.hokkaido-kamikawa.lg.jp/,～自然と調和した未来～小さくても「夢・希望・誇り」に満ちた上川をめざして
1,北海道,1458,東川町,ひがしかわちょう,43.6988984,142.5101593,https://town.higashikawa.hokkaido.jp/,写真の町　人と自然がおりなす輝きの大地　ひがしかわ
1,北海道,1459,美瑛町,びえいちょう,43.5883298,142.4670597,https://town.biei.hokkaido.jp/,丘のまち びえい
1,北海道,1460,上富良野町,かみふらのちょう,43.45561409,142.4671231,https://www.town.kamifurano.hokkaido.jp/,四季彩のまち・かみふらの－風土に映える暮しのデザイン－
1,北海道,1461,中富良野町,なかふらのちょう,43.40583333,142.4252778,https://www.town.nakafurano.lg.jp/,ともに創るしあわせ大地クリーン・グリーンなかふらの
1,北海道,1462,南富良野町,みなみふらのちょう,43.16416667,142.5683333,https://www.town.minamifurano.hokkaido.jp/,瑞々しい自然　誇れる大地、人のびのび　みなみふらの
1,北海道,1463,占冠村,しむかっぷむら,42.97987952,142.3985363,http://www.vill.shimukappu.lg.jp/,自然体感占冠　しむかっぷむら
1,北海道,1464,和寒町,わっさむちょう,44.02312874,142.4134008,https://www.town.wassamu.hokkaido.jp/,自然の恵み野わっさむ町　ふれあい夢かがやく わっさむ2世紀へ躍動
1,北海道,1465,剣淵町,けんぶちちょう,44.09576224,142.3613267,https://www.town.kembuchi.hokkaido.jp/wp-content/cache/all//index.html,人・夢・大地　やさしさ奏でる　絵本の里けんぶち
1,北海道,1468,下川町,しもかわちょう,44.3025664,142.6352023,https://www.town.shimokawa.hokkaido.jp/,おいでよ。森林と人が輝くしもかわ　森林（もり）と大地と人が輝くまち・しもかわ
1,北海道,1469,美深町,びふかちょう,44.48102079,142.3430577,http://www.town.bifuka.hokkaido.jp/,夢いっぱい　北の大地（まち）・びふか
1,北海道,1470,音威子府村,おといねっぷむら,44.72504179,142.2622139,https://www.vill.otoineppu.hokkaido.jp/,木の匂いわがふるさと「森と匠の村」おといねっぷ　大好き音威子府～森と共に、いきいき輝く地域をめざして～
1,北海道,1471,中川町,なかがわちょう,44.81138889,142.0713889,http://www.town.nakagawa.hokkaido.jp/,元気発信　笑顔の大地　夢開花　なかがわ
